,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
0,AMAZONAS,BAGUA,ARAMANGO,010202,2021-08,2
1,AMAZONAS,BAGUA,ARAMANGO,010202,2021-09,2
2,AMAZONAS,BAGUA,BAGUA,010201,2021-06,4
3,AMAZONAS,BAGUA,BAGUA,010201,2021-07,6
4,AMAZONAS,BAGUA,BAGUA,010201,2021-08,6
5,AMAZONAS,BAGUA,BAGUA,010201,2021-09,4
6,AMAZONAS,BAGUA,COPALLIN,010203,2021-08,2
7,AMAZONAS,BAGUA,COPALLIN,010203,2021-09,1
8,AMAZONAS,BAGUA,EL PARCO,010204,2021-08,1
9,AMAZONAS,BAGUA,IMAZA,010205,2021-08,4
10,AMAZONAS,BAGUA,IMAZA,010205,2021-09,3
11,AMAZONAS,BAGUA,LA PECA,010206,2021-08,1
12,AMAZONAS,BAGUA,LA PECA,010206,2021-09,1
13,AMAZONAS,BONGARA,CHISQUILLA,010302,2021-07,1
14,AMAZONAS,BONGARA,CHURUJA,010303,2021-08,1
15,AMAZONAS,BONGARA,COROSHA,010304,2021-07,1
16,AMAZONAS,BONGARA,CUISPES,010305,2021-07,1
17,AMAZONAS,BONGARA,FLORIDA,010306,2021-06,3
18,AMAZONAS,BONGARA,FLORIDA,010306,2021-07,3
19,AMAZONAS,BONGARA,FLORIDA,010306,2021-08,1
20,AMAZONAS,BONGARA,FLORIDA,010306,2021-09,1
21,AMAZONAS,BONGARA,JAZAN,010307,2021-06,2
22,AMAZONAS,BONGARA,JAZAN,010307,2021-07,1
23,AMAZONAS,BONGARA,JAZAN,010307,2021-08,1
24,AMAZONAS,BONGARA,JAZAN,010307,2021-09,1
25,AMAZONAS,BONGARA,JUMBILLA,010301,2021-07,1
26,AMAZONAS,BONGARA,JUMBILLA,010301,2021-09,1
27,AMAZONAS,BONGARA,RECTA,010308,2021-07,1
28,AMAZONAS,BONGARA,SAN CARLOS,010309,2021-07,1
29,AMAZONAS,BONGARA,SHIPASBAMBA,010310,2021-07,1
30,AMAZONAS,BONGARA,SHIPASBAMBA,010310,2021-08,1
31,AMAZONAS,BONGARA,VALERA,010311,2021-07,1
32,AMAZONAS,BONGARA,VALERA,010311,2021-08,1
33,AMAZONAS,BONGARA,VALERA,010311,2021-09,1
34,AMAZONAS,BONGARA,YAMBRASBAMBA,010312,2021-06,1
35,AMAZONAS,BONGARA,YAMBRASBAMBA,010312,2021-08,2
36,AMAZONAS,CHACHAPOYAS,ASUNCION,010102,2021-07,1
37,AMAZONAS,CHACHAPOYAS,BALSAS,010103,2021-08,2
38,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-06,4
39,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-07,7
40,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-08,6
41,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-09,4
42,AMAZONAS,CHACHAPOYAS,CHETO,010104,2021-07,1
43,AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,2021-07,1
44,AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,2021-08,1
45,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,2021-08,4
46,AMAZONAS,CHACHAPOYAS,GRANADA,010107,2021-08,1
47,AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2021-07,1
48,AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2021-09,1
49,AMAZONAS,CHACHAPOYAS,LA JALCA,010109,2021-07,1
50,AMAZONAS,CHACHAPOYAS,LA JALCA,010109,2021-08,2
51,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,2021-08,4
52,AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,2021-07,1
53,AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,2021-08,1
54,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,2021-07,1
55,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,2021-08,1
56,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,2021-07,1
57,AMAZONAS,CHACHAPOYAS,OLLEROS,010116,2021-07,1
58,AMAZONAS,CHACHAPOYAS,OLLEROS,010116,2021-08,1
59,AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,2021-07,1
60,AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,2021-08,1
61,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,2021-07,1
62,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,2021-08,1
63,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,2021-07,1
64,AMAZONAS,CHACHAPOYAS,SOLOCO,010120,2021-07,1
65,AMAZONAS,CHACHAPOYAS,SOLOCO,010120,2021-08,1
66,AMAZONAS,CHACHAPOYAS,SONCHE,010121,2021-07,1
67,AMAZONAS,CONDORCANQUI,EL CENEPA,010402,2021-08,5
68,AMAZONAS,CONDORCANQUI,EL CENEPA,010402,2021-09,1
69,AMAZONAS,CONDORCANQUI,NIEVA,010401,2021-06,2
70,AMAZONAS,CONDORCANQUI,NIEVA,010401,2021-07,4
71,AMAZONAS,CONDORCANQUI,NIEVA,010401,2021-08,6
72,AMAZONAS,CONDORCANQUI,NIEVA,010401,2021-09,2
73,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403,2021-08,5
74,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403,2021-09,1
75,AMAZONAS,LUYA,CAMPORREDONDO,010502,2021-08,3
76,AMAZONAS,LUYA,COCABAMBA,010503,2021-07,1
77,AMAZONAS,LUYA,COCABAMBA,010503,2021-08,3
78,AMAZONAS,LUYA,COLCAMAR,010504,2021-07,1
79,AMAZONAS,LUYA,COLCAMAR,010504,2021-09,1
80,AMAZONAS,LUYA,CONILA,010505,2021-08,1
81,AMAZONAS,LUYA,INGUILPATA,010506,2021-08,1
82,AMAZONAS,LUYA,LAMUD,010501,2021-07,1
83,AMAZONAS,LUYA,LAMUD,010501,2021-08,1
